用户名,用户uid,用户ID,粉丝数量,发表时间,视频awemeid,视频url,视频描述,视频时长,点赞数量,收藏数量,评论数量,下载数量,分享数量,总互动量
俊杰（千珏艾克大王),a61412728358,MS4wLjABAAAAHqLW7u7DKfrudrA-HqbnDKyNZf0q_25YgsPF_h4XGuc,5380,2023.08.13,a7266699546422447397,https://www.douyin.com/video/7266699546422447397,摆烂不是在摆队友，是在摆你自己#lol手游 #摆烂日常,04:22,137,15,96,0,57,305
蛇皮小法（金牌解说中单法王）,a101047483349,MS4wLjABAAAA20acQaIIG9Nq0TsIA9sEWVsk_OXP0ntopfIFYqwkKPY,242268,2025.01.14,a7459431276001398053,https://www.douyin.com/video/7459431276001398053,致敬每一个坚持到最后的召唤师 #lol #蛇皮小法 #小法师中单20分钟1000法 #逆风,01:58,147,3,13,0,1,164
吸氧哥（王者解说）,a3825943402520599,MS4wLjABAAAAOHaTs_aYLE0pHOaNi2JGvR8epeEmNPwQEAc_IgIzRSupJeUvw_hxyNrCvm3hAsPf,1108798,2024.11.16,a7437773511990480139,https://www.douyin.com/video/7437773511990480139,猪悠被摆烂队友气到暴走，看见其主页却有选择“包容”#猪猪小悠,02:58,1950,177,54,6,536,2723
金铲铲、小伙子,a4180760490155116,MS4wLjABAAAABb_QQcM6CgnLWOpD27lQQP2Btq9103z6Q8jMKi6N-aH-6lVDxoQ_ct2pvQzVWBZ-,2,2024.04.10,a7356156970744827170,https://www.douyin.com/video/7356156970744827170,#lol手游 #队友摆烂‘这打野因为讲话没人搭理他就开始摆。,00:15,3,1,3,0,1,8
羊东译（年前减肥版）,a103967756172,MS4wLjABAAAA31ZFK7iufUQ_cT2VkORSYBdHvtTuVy3yIT-yAo3c0jo,124,2024.10.05,a7421972214007876864,https://www.douyin.com/video/7421972214007876864,诺手打野就是好玩，爱玩，队友喜欢摆烂我也玩 #lol #极限操作 #细节操作 说实话，这个游戏上分得看运气，大师掉钻2只需要6把,02:06,12,2,3,0,0,17
无心教主,a109597186421,MS4wLjABAAAAB7ywkZ9E6g2Q7IlK9bpt_w00FBrSmF1YlI4dpwoTFb8,9954,2022.10.10,a7152381143638101284,https://www.douyin.com/video/7152381143638101284,当第一把1/9究极摆烂的队友第二把排到对面会发生什么#英雄联盟 #艾欧尼亚 #超凡大师 #复仇局 #队友摆烂,04:40,75,5,16,0,5,101
森林（国一加里奥）,a93401263745,MS4wLjABAAAAUtKTI3jAW8yT1nE5xYMEb0iqybHPftQTBcpNcB8vYe4,95113,2022.12.14,a7177002187543858492,https://www.douyin.com/video/7177002187543858492,《队友摆烂的真实原因》#lol手游暗夜破晓 #英雄联盟手游,01:12,5996,208,852,83,794,7933
小重装king,a110061553479,MS4wLjABAAAAR-chPBnKEQEJk09K6gI4Ldpl0665Hy04MlsXQJzb88M,1176,2024.09.22,a7417139573832158502,https://www.douyin.com/video/7417139573832158502,【ELO机制】摆烂=赢？认真打=上班/躺输？ELO就这么恶心 #lol #游戏日常 #ELO机制 #英雄联盟 #排位,03:45,30,1,37,0,5,73
初初（国一武则天小乔）,a3856720083826152,MS4wLjABAAAArAnxJ9nJ9IN2swTdVveqyYLQNKpNQ7IwJOpMJCQ0ddbV9oZDEjIcle0cxP_OfzeZ,289226,2023.08.01,a7262354123675192613,https://www.douyin.com/video/7262354123675192613,面对摆烂队友，我们四个认真的态度，就是对这种人最好的反击。#摆烂队友 #游戏环境现状 #国服武则天,03:21,16035,341,2841,6,191,19414
渡欢心（阿萝拉）,a62284037712,MS4wLjABAAAAZNbSbMzWmUHm7m3kKndMeZO4JxjzZQ_6NCqL3WkZr8g,38962,2024.11.21,a7439505970696310027,https://www.douyin.com/video/7439505970696310027,往往天崩劣势局 更容易翻盘 因为会有一股劲儿 把你们聚在一起 操作和运营也会更加谨慎 像那种天胡优势局更让人放松警惕 一旦出现了判断失误 局势扭转 队友及其容易自暴自弃 开始摆烂#阿萝拉 #联盟的魅力,02:27,744,57,73,0,58,932
锤锤不点灯笼（CD流锤石）,a792103182145864,MS4wLjABAAAAjfgdNTS_z94LE1S3kkRHIYyHBSLm707sLv2Xv7Ma2c4,22835,2022.04.12,a7085630713885625614,https://www.douyin.com/video/7085630713885625614,队友开局摆烂，11分钟既然给对面打投降了。 #英雄联盟手游 #手游锤石讲解 #游戏梦想家寻宝季,04:14,4540,126,915,10,248,5839
世界第一路人劫,a105382412124,MS4wLjABAAAAxHbZO9IKVMSlOOo2DUuBz000P8PXJ1uh-XpPmhVcGu8,235866,2023.10.06,a7286775683542551827,https://www.douyin.com/video/7286775683542551827,队友摆烂 但不代表不想赢！,11:39,7511,261,748,0,1000,9520
凌羽（摆烂教学）,a69431194954,MS4wLjABAAAA3vkoMkHaZWYChm1JUBxryKpL_1tCIhpH1g3VyD6aMfc,36943,2025.01.13,a7459238883293678883,https://www.douyin.com/video/7459238883293678883,玩王者不摆烂就被队友坑?#凌羽教学 #反向教学 #王者荣耀教学,01:03,45,6,12,0,16,79
你的安安,a4322871177393812,MS4wLjABAAAAg18XDtUsyq3mZW1iyByBtJgqhAbbAkyfyK9abfXFs8Qjmr6VJAinjQe4IZzojw5P,7122808,2022.03.06,a7071924261027319077,https://www.douyin.com/video/7071924261027319077,你遇到队友摆烂会怎么办？,01:12,160793,4305,2081,388,785,168352
秒杀怪卡萨丁,a4033441348988235,MS4wLjABAAAAW7Q6AxuGu9ImONuRjF8pN2YOdlQncTGDVGMalEBF_WRAHYL_TlCIiRUnwL9zqn-e,957921,2023.02.23,a7203068182041464079,https://www.douyin.com/video/7203068182041464079,这局队友摆烂开局逆风，卡萨丁该怎么玩，长视频希望兄弟们能看到有点东西，喜欢的兄弟们记得点个赞#英雄联盟,26:23,6051,0,309,0,101,6461
LOL大神秀,a628530493274516,MS4wLjABAAAAqeaTkw2JcCkFcTgacCgMfFrYVK8MCwdWbRhfht1eY4A,243435,2022.03.24,a7078326358648048933,https://www.douyin.com/video/7078326358648048933,#fakerFaker又遇到摆烂选手！李哥：这竟然是王者？拜托把他封了吧,01:02,4090,157,959,0,83,5289
明月从心,a3222048805490068,MS4wLjABAAAAJdubPiEjjTymqbcB57ZyODP0QsKpVgRGJ8uwpfjbrwth9Cim9RGLgQdYHaBQOOBH,1662,2023.12.20,a7314658410727804179,https://www.douyin.com/video/7314658410727804179,上单巨魔 队友摆烂，无限单带偷家翻盘#LOL #我的游戏日常,03:05,82,6,13,0,1,102
KING（国一穿甲瞎）,a2421593879623659,MS4wLjABAAAAP-ApBiTw6UD3vOVH6-kiIG2IGbbQifb2-M-QFcVeN7nNB93UeH1VmHpHFmMEr9Ik,1009,2024.10.17,a7426706125698895156,https://www.douyin.com/video/7426706125698895156,打野必修课 宗师局八分钟队友摆烂挂机？ 落后一万经济！教你如何用思路完成逆风翻盘！#lol #落后一万经济 #打野思路,11:04,71,3,8,0,8,90
峥峥和摆烂队友呀,a517197600396508,MS4wLjABAAAA8UD3-RpqwyoOQSHBOct6tVXz8jTYyfHn0q-kEH1RLc4,4015,2024.12.15,a7448499084480023846,https://www.douyin.com/video/7448499084480023846,峥峥遇破绽队友#王者荣耀#峥峥 #游戏中的名场面 #游戏日常#是时候展现真正的技术了,04:24,32,3,0,0,2,37
LIMenry_,a64345223641,MS4wLjABAAAAUMRTC2RskQk1M0t36xQPcAbqjSO2B9dVx6sUCaLuzgM,223,2023.09.03,a7274403146271690039,https://www.douyin.com/video/7274403146271690039,打个游戏气到吐血，遇到这种的队友怎么办？#英雄联盟 #摆烂队友有多恶心,07:07,3,0,2,0,0,5
摇果解说,a2339371496252047,MS4wLjABAAAAuQv1Rlb0fg5yDbpUEs6i_ZYNXpvZVyVayzEWUth-AqQorR-DxDTzZ0YRZft8lEdY,5295,2025.01.06,a7456461695540563251,https://www.douyin.com/video/7456461695540563251,新赛季防摆烂机制真的有防到局内摆烂玩家吗#防摆烂机制 #王者惩罚机制 #王者新赛季 #内容启发搜索,00:57,416,47,397,0,40,900
iu1,a679930410043795,MS4wLjABAAAAZI8bBiXMGmOuImwLbUOizlAebPDvpf1aXfRJG4MQkl0,3594,2024.11.15,a7437321643426434355,https://www.douyin.com/video/7437321643426434355,中路没线权，队友5分钟开送，4v6逆风对局！ 慢慢恢复更新，感谢点赞转发支持！下一期视频千珏10分钟9层印记！#英雄联盟 #莉莉娅 #打野,06:15,206,8,10,0,25,249
文森特的鲍飞大剑,a4124995807357191,MS4wLjABAAAAxHBDpP6JmcwuYjEUpx2O1Llg1lbR8oVHAAO3PYK3sqt8ynRSm0dSsVtS0ja8MzWr,340492,2024.05.29,a7374365550501301555,https://www.douyin.com/video/7374365550501301555,文森特：在我这没有投降二字，开局四打五好好看好好学！  #文森特  #lol  #游戏日常,03:50,1225,83,30,2,49,1389
英雄联盟-大师兄,a1530128095787144,MS4wLjABAAAA-xCdeITFJPvW-uqkLsM039HVxaa0hAIWffb_spITr5KMBEMxFRec7bC4ekgw2CB_,211069,2021.11.21,a7032948300957519140,https://www.douyin.com/video/7032948300957519140,遇到队友摆烂和你互动你该怎么解决？#lol #小超梦 @DOU+小助手,05:36,33926,330,1754,0,625,36635
大飞鹿🦌（时疯时静版）,a809708157933367,MS4wLjABAAAAX3w96z26oHBPpenYoCMtnnQiYi9MZnspjOF8YHu1xe4,1512,2024.11.26,a7441295560092421428,https://www.douyin.com/video/7441295560092421428,《脑子到底在想什么》 艾欧尼亚的钻石选手真的太极品了，大家都在比谁更摆烂，真的太夸张了，我想知道，这些人长得一副什么嘴脸呢？这个希维尔脑子里在想些什么？我真不理解，队友明明没有骂他，也没有嘲讽他，只是让他塔下补刀别死，怎么还一副委屈嘴脸（队友不管我，对面打野一直抓我），瞎子明明就去了一波，关键他英雄是希维尔唉，不好抓的，绿茶男恶心哦#lol #游戏主播 #lol主播 #佐伊 #lol陪玩,02:09,46,3,37,0,5,91
小欢天使（国一天使）,a3703634064835212,MS4wLjABAAAACOoHXO_PTh0tHiB3_w58R6EIxCTYc3L5w8xRVJrIZnv_M8kaasvM8J4fgRXusTYc,9508,2024.10.23,a7428962082038500668,https://www.douyin.com/video/7428962082038500668,单排大师局，百分之50输出大逆风翻盘，如果你朋友这种摆烂队友，你该如何应对#lolm #英雄联盟手游 #凯尔 #我的游戏日常,04:23,90,13,17,0,3,123
娃哈哈杀手,a81723721956,MS4wLjABAAAA9F7wYNdfsX2WwBVop7LUaGSkkxYGlDXirrNjdwbH-FM,676401,2023.10.16,a7290486080875400467,https://www.douyin.com/video/7290486080875400467,中单摆烂教对面锁我头？#联盟的魅力 #lol #游戏日常 #细节操作 #日常排位,08:40,7469,402,757,0,229,8857
雪豹真菜,a2168703311680968,MS4wLjABAAAAcHBcFk4lnlIfSjCp4f4q4ID_Zim6ESKvBXlh2MfVcY35IlUw-kRezRaucWxwA4CA,175,2022.11.10,a7163502268791180574,https://www.douyin.com/video/7163502268791180574,把把有摆烂的队友！英雄联盟早点凉了吧！#英雄联盟 #大乱斗 #摆烂 #lol,13:56,6,0,2,0,2,10
联盟及时雨,a4244531518112523,MS4wLjABAAAAnw7-o-8OvOrQQnXdFOThRIMRaFysnYJ03BxLqBS-0UUNxlbjPdsIkUUnibtD4RS-,7533,2024.11.02,a7432549093173415180,https://www.douyin.com/video/7432549093173415180,白菜刀妹顶级一打九：队友挂机摆烂副作用，纯靠个人实力在硬撑！ #三桂园区 #白菜ovo #芜湖神,02:20,2445,131,171,3,363,3113
一只小龙,a81888344554,MS4wLjABAAAABXWUJ4bOqSrNlPK1OvB1DhLzQOBeNdetZkQBkpDwjNc,1666,2024.12.27,a7452913618309418267,https://www.douyin.com/video/7452913618309418267,稚嫩少年#英雄联盟 #内容启发搜索 #用电脑刷抖音有多爽 #抖音电脑版,01:04,26,1,0,0,2,29
鱼哥（克烈）,a96672670302,MS4wLjABAAAAC7bJOD31GXr7ISDPudd3AcFWR4PkLJ2JclfG-79rAE4,9055,2022.08.25,a7135670656376655135,https://www.douyin.com/video/7135670656376655135,不要再去学elo机制摆烂了，摆烂完的队友不会更好，只有跟你一样连跪，建议还是掌握排位机制方法#lol #英雄联盟 #克烈 #elo,03:03,483,57,127,15,81,763
阿眠lolm,a95989148183,MS4wLjABAAAAoPgD99BDYmtF6_FdB0m4ORD-p8J2p1hmcRXURGQ2axs,198,2024.12.13,a7447861751124610361,https://www.douyin.com/video/7447861751124610361,真希望每个人都是人#lolm #lol手游 #lol,01:41,100,7,130,0,4,241
大乐- 艾克-LOL英雄联盟手游,a77402570312,MS4wLjABAAAAioKhSQsPOpKey9ZeDzDyCBlb3cBbsFGawJNboW_yY9Y,1320,2024.11.23,a7440416480782568767,https://www.douyin.com/video/7440416480782568767,两个未知峡谷人类的摆烂奇葩队友。#LOL手游终极对决 #LOL手游双城之战#LOL手游整活天才#LOL手游匹配机制,08:55,4,0,3,0,0,7
老四解说,a98116502042,MS4wLjABAAAA2kOA6XDiEZspFLYJ1uTwNCthChnuGRA4s7tl6hZHLp4,424852,2022.04.21,a7088978200398810405,https://www.douyin.com/video/7088978200398810405,联盟手游摆烂专用英雄TOP5！#英雄联盟手游 #lol手游 #lol手游资讯,00:42,3890,97,788,35,438,5248
浪漫豹女King,a3131883858963902,MS4wLjABAAAAWLACH7Z04z5pxZ1Mcu0AM72mVCgXUlHAICRkpPwrhIKpISC0j3W-E1DABWnJNpXW,18052,2024.12.27,a7453007319257992482,https://www.douyin.com/video/7453007319257992482,这就是我们班德尔城打招呼的方式! #峡谷之巅,09:40,1550,50,131,0,137,1868
林小婵（吐槽）,a567805040922360,MS4wLjABAAAADCp1yrUHHpPVO9zlWJn6fQgQsHsYzXSH8hXl10ExhfU,12425,2024.12.30,a7454181981903916347,https://www.douyin.com/video/7454181981903916347,防摆烂机制防的竟然是认真游戏的玩家#防摆烂机制 #林小婵,00:57,136,6,34,0,7,183
