用户名,用户uid,用户ID,粉丝数量,发表时间,视频awemeid,视频url,视频描述,视频时长,点赞数量,收藏数量,评论数量,下载数量,分享数量,总互动量
戒喷（国一腕豪lol手游）,a70915640948,MS4wLjABAAAA3yU4B6M9_7QC6tkqeibCOAZWQUp4tdk2sguWFqa-HcI,199251,2023.05.08,a7230751812268068148,https://www.douyin.com/video/7230751812268068148,你们说他到底是在摆烂还是在卡分啊！#英雄联盟手游 #峡谷之巅 #lolm,02:12,2178,63,513,4,106,2864
丧尸布兰德,a64896824906,MS4wLjABAAAADYvUx33BPztIB5oB--WOmmhuk4dXlMjazNtxKe5VW94,3936,2023.02.07,a7197219149649595704,https://www.douyin.com/video/7197219149649595704,遇到摆烂队友，随手举报，正义没有迟到#lol #艾欧尼亚 #辅助 #火男,01:12,11,1,9,0,0,21
小安sup,a94202130718,MS4wLjABAAAAwWn-IVUqi7SObl0wVFUwb7u-tfT67JxoBSMK5XAFnWI,12,2024.08.05,a7399672883703860515,https://www.douyin.com/video/7399672883703860515,辅助第一视角带摆烂队友拿下游戏#lol  #輔助  #摆烂队友 #日常排位,05:49,18,0,10,0,2,30
lyb(全能ad),a57614440348424,MS4wLjABAAAAwK4h7yQy0IG48GCTABR-JbBNyIzrj4hxiTGMH_yeYGE,526,2024.12.03,a7444116056764943676,https://www.douyin.com/video/7444116056764943676,很少见女玩家有优越感，摆烂和一直输出负面情绪的#lol,01:20,27,4,33,0,4,68
对瘤谈情,a169799835718586,MS4wLjABAAAAw5_OmYp7IX5DKMYms1bRgW3RZoPGmXDK05dihFzwOAs,68,2024.11.13,a7436790723250310435,https://www.douyin.com/video/7436790723250310435,英雄联盟好棒的匹配机制 英雄联盟是世界上最最最棒的游戏！英雄联盟设计师是世界上最最最优秀的设计师！腾讯是世界上最最最良心的公司！#s14全球总决赛 #lol #联盟 #游戏日常,01:34,46,4,63,0,14,127
猫老板,a910811637751156,MS4wLjABAAAA2jD2Xs4F80YVauBzqing2dJEAq82cRyE1S8FuBl_Mko,8747,2023.11.08,a7298996904438795558,https://www.douyin.com/video/7298996904438795558,队友骂人：可以没问题队友摆烂：不行！！#lol,02:34,177,2,31,1,39,250
Taka（国一穿甲瞎）,a101516501241,MS4wLjABAAAAuSjzVCbW1IWS_tqFY3xmy1teyJ650dVhrGOQk3gum6s,81642,2024.07.02,a7386883988826164517,https://www.douyin.com/video/7386883988826164517,当你排位遇到送人头挂机摆烂的少爷 #lol #盲僧 #艾欧尼亚 #摆烂队友 #游戏日常,04:38,1776,59,275,3,125,2238
小辰艾克king,a4101593716235012,MS4wLjABAAAAPVy3Tezch1jwS8onvvaF7rEo0LHISqBBc-MFCnf1Vc0A7s_uULO12Ooxcyn4SPJx,109,2024.11.27,a7441775832621698304,https://www.douyin.com/video/7441775832621698304,如何严惩elo摆烂队友？ #英雄联盟 #elo #摆烂队友,01:30,14,2,5,0,5,26
君临狗熊,a3193448140127608,MS4wLjABAAAAMvrmaiw0Yf6arHnwKpOHm0ouLl9pCrIDSxqoeGHn70DHG1l0oTs0i4HW2nq0N9uO,11817,2024.08.07,a7400405357400558887,https://www.douyin.com/video/7400405357400558887,自信是上单的第7件装备！ #lol #英雄联盟 #AP狗熊,00:51,30,1,3,0,0,34
小熊软糖(中韩第一中单扎克）,a2264646204010551,MS4wLjABAAAAVLji3aL9iGue_e_sLSGWutH_FZVChhVutUMJ-HyJWsJyZ7QP4lCwDznxx6RxvPlf,11998,2024.10.04,a7421753715368955136,https://www.douyin.com/video/7421753715368955136,对面卡沙：笑脸是不是给多了，还想翻呢？ #扎克 #英雄联盟 #生化魔人 #韩服王者 #英雄联盟s14,03:39,394,15,95,0,27,531
楚钧艾克,a2410569943227703,MS4wLjABAAAAV_teb67ovxLLNsH7wbVpl3fAJWAih_baUfbtLIYrqkQhVOzN0AA_shXqybLATiqW,751979,2021.07.20,a6986950435907079460,https://www.douyin.com/video/6986950435907079460,队友摆烂应该怎么办?对这种行为应该报以什么态度呢？#无赖打法,01:03,19725,42,1066,0,779,21612
